SOURCE,TARGET,RELATION
MYRCELLA BARATHEON,ROBERT BARATHEON,CÓRKA
MYRCELLA BARATHEON,TOMMEN BARATHEON,SIOSTRA
MARGAERY TYRELL,RENLY BARATHEON,ŻONA
ONMUND BARATHEON,RHAELLE TARGARYEN,MĄŻ
ONMUND BARATHEON,STEFFON BARATHEON,OJCIEC
RENLY BARATHEON,CASSANA ESTERMONT,SYN
RENLY BARATHEON,MARGAERY TYRELL,MĄŻ
RENLY BARATHEON,ROBERT BARATHEON,BRAT
RENLY BARATHEON,STANNIS BARATHEON,BRAT
RENLY BARATHEON,STEFFON BARATHEON,SYN
RHAEGAR TARGARYEN,AEGON TARGARYEN,OJCIEC
RHAEGAR TARGARYEN,DAENERYS TARGARYEN,SIOSTRA
RHAEGAR TARGARYEN,ELIA MARTELL,MĄŻ
RHAEGAR TARGARYEN,RHAENYS TARGARYEN,OJCIEC
RHAEGAR TARGARYEN,VISERYS TARGARYEN,BRAT
RHAELLA TARGARYEN,AERYS TARGARYEN,SIOSTRA
RHAELLA TARGARYEN,AERYS TARGARYEN,ŻONA
RHAELLA TARGARYEN,DAENERYS TARGARYEN,MATKA
RHAELLA TARGARYEN,VISERYS TARGARYEN,MATKA
RHAELLE TARGARYEN,DAERON TARGARYEN,SIOSTRA
RHAELLE TARGARYEN,DUNCAN TARGARYEN,SIOSTRA
RHAELLE TARGARYEN,JAEHAERYS TARGARYEN,SIOSTRA
RHAELLE TARGARYEN,ONMUND BARATHEON,ŻONA
RHAELLE TARGARYEN,SHAERA TARGARYEN,SIOSTRA
RHAENYS TARGARYEN,AEGON TARGARYEN,SIOSTRA
RHAENYS TARGARYEN,ELIA MARTELL,CÓRKA
RHAENYS TARGARYEN,RHAEGAR TARGARYEN,CÓRKA
ROBERT BARATHEON,CASSANA ESTERMONT,SYN
ROBERT BARATHEON,CERSEI LANNISTER,MĄŻ
ROBERT BARATHEON,JOFFREY BARATHEON,OJCIEC
ROBERT BARATHEON,MYRCELLA BARATHEON,OJCIEC
ROBERT BARATHEON,RENLY BARATHEON,BRAT
ROBERT BARATHEON,STANNIS BARATHEON,BRAT
ROBERT BARATHEON,STEFFON BARATHEON,SYN
ROBERT BARATHEON,TOMMEN BARATHEON,OJCIEC
SHAERA TARGARYEN,AERYS TARGARYEN,MATKA
SHAERA TARGARYEN,DAERON TARGARYEN,SIOSTRA
SHAERA TARGARYEN,DUNCAN TARGARYEN,SIOSTRA
SHAERA TARGARYEN,JAEHAERYS TARGARYEN,SIOSTRA
SHAERA TARGARYEN,JAEHAERYS TARGARYEN,ŻONA
SHAERA TARGARYEN,RHAELLA TARGARYEN,MATKA
SHAERA TARGARYEN,RHAELLE TARGARYEN,SIOSTRA
SHIREEN BARATHEON,STANNIS BARATHEON,CÓRKA
STANNIS BARATHEON,CASSANA ESTERMONT,SYN
STANNIS BARATHEON,RENLY BARATHEON,BRAT
STANNIS BARATHEON,ROBERT BARATHEON,BRAT
STANNIS BARATHEON,SELYSE FLORENT,MĄŻ
STANNIS BARATHEON,SHIREEN BARATHEON,OJCIEC
STANNIS BARATHEON,STEFFON BARATHEON,SYN
STEFFON BARATHEON,CASSANA ESTERMONT,MĄŻ
STEFFON BARATHEON,ONMUND BARATHEON,SYN
STEFFON BARATHEON,RENLY BARATHEON,OJCIEC
STEFFON BARATHEON,ROBERT BARATHEON,OJCIEC
STEFFON BARATHEON,STANNIS BARATHEON,OJCIEC
TOMMEN BARATHEON,CERSEI LANNISTER,SYN
TOMMEN BARATHEON,JOFFREY BARATHEON,BRAT
TOMMEN BARATHEON,MYRCELLA BARATHEON,BRAT
TOMMEN BARATHEON,ROBERT BARATHEON,SYN
VISERYS TARGARYEN,AERYS TARGARYEN,SYN
VISERYS TARGARYEN,DAENERYS TARGARYEN,BRAT
VISERYS TARGARYEN,RHAELLA TARGARYEN,MATKA
TYWIN LANNISTER ,JOANNA LANNISTER,MĄŻ
JOANNA LANNISTER,TYWIN LANNISTER,ŻONA
JOANNA LANNISTER,CERSEI LANNISTER,MATKA
JOANNA LANNISTER,JAIME LANNISTER,MATKA
JOANNA LANNISTER,TYRION LANNISTER,MATKA
TYWIN LANNISTER,JAIME LANNISTER,OJCIEC
TYWIN LANNISTER,CERSEI LANNISTER,OJCIEC
TYWIN LANNISTER,TYRION LANNISTER,OJCIEC
CERSEI LANNISTER,JOANNA LANNISTER,CÓRKA
CERSEI LANNISTER,TYWIN LANNISTER ,CÓRKA
CERSEI LANNISTER,JAIME LANNISTER,SIOSTRA
CERSEI LANNISTER,TYRION LANNISTER,SIOSTRA
CERSEI LANNISTER,JOFFREY BARATHEON,MATKA
CERSEI LANNISTER,MYRCELLA BARATHEON ,MATKA
CERSEI LANNISTER,TOMMEN BARATHEON,MATKA
JAIME LANNISTER,JOANNA LANNISTER,SYN
JAIME LANNISTER,TYWIN LANNISTER ,SYN
JAIME LANNISTER,CERSEI LANNISTER,BRAT
JAIME LANNISTER,TYRION LANNISTER,BRAT
JAIME LANNISTER,JOFFREY BARATHEON,OJCIEC
JAIME LANNISTER,MYRCELLA BARATHEON ,OJCIEC
JAIME LANNISTER,TOMMEN BARATHEON,OJCIEC
TYRION LANNISTER ,JOANNA LANNISTER,SYN
TYRION LANNISTER ,TYWIN LANNISTER ,SYN
TYRION LANNISTER ,CERSEI LANNISTER,BRAT
TYRION LANNISTER ,JAIME LANNISTER,BRAT
TYRION LANNISTER ,SANSA STARK,MĄŻ
KEVAN LANNISTER,DORNA LANNISTER,MĄŻ
KEVAN LANNISTER,LANCEL LANNISTER,OJCIEC
KEVAN LANNISTER,MARTYN LANNISTER,OJCIEC
KEVAN LANNISTER,WILLEM LANNISTER,OJCIEC
DORNA LANNISTER,DORNA LANNISTER,ŻONA
DORNA LANNISTER,WILLEM LANNISTER,MATKA
DORNA LANNISTER,MARTYN LANNISTER,MATKA
DORNA LANNISTER,LANCEL LANNISTER,MATKA
LANCEL LANNISTER,KEVAN LANNISTER,SYN
LANCEL LANNISTER,DORNA LANNISTER,SYN
LANCEL LANNISTER,MARTYN LANNISTER,BRAT
LANCEL LANNISTER,WILLEM LANNISTER,BRAT
MARTYN LANNISTER,DORNA LANNISTER,SYN
MARTYN LANNISTER,KEVAN LANNISTER,SYN
MARTYN LANNISTER,LANCEL LANNISTER,BRAT
MARTYN LANNISTER,WILLEM LANNISTER,BRAT
WILLEM LANNISTER,DORNA LANNISTER,SYN
WILLEM LANNISTER,KEVAN LANNISTER,SYN
WILLEM LANNISTER,DORNA LANNISTER,BRAT
WILLEM LANNISTER,LANCEL LANNISTER,BRAT
